IU_ID,IU_ID_Full
54203,KEN54203
54222,KEN54222
54223,KEN54223
54224,KEN54224
54007,KEN54007
54010,KEN54010
54008,KEN54008
54011,KEN54011
54009,KEN54009
54021,KEN54021
54057,KEN54057
54022,KEN54022
54023,KEN54023
54277,KEN54277
54013,KEN54013
54059,KEN54059
54015,KEN54015
54060,KEN54060
54061,KEN54061
54063,KEN54063
54024,KEN54024
54064,KEN54064
54016,KEN54016
54025,KEN54025
54279,KEN54279
54068,KEN54068
54026,KEN54026
54027,KEN54027
54018,KEN54018
54017,KEN54017
54280,KEN54280
54058,KEN54058
54062,KEN54062
54067,KEN54067
54065,KEN54065
54066,KEN54066
54012,KEN54012
54276,KEN54276
54278,KEN54278
54019,KEN54019
54014,KEN54014
54020,KEN54020
54216,KEN54216
54202,KEN54202
54001,KEN54001
54002,KEN54002
54003,KEN54003
54217,KEN54217
54004,KEN54004
54218,KEN54218
54204,KEN54204
54028,KEN54028
54029,KEN54029
54206,KEN54206
54207,KEN54207
54030,KEN54030
54031,KEN54031
54005,KEN54005
54208,KEN54208
54219,KEN54219
54209,KEN54209
54210,KEN54210
54211,KEN54211
54213,KEN54213
54214,KEN54214
54240,KEN54240
54241,KEN54241
54242,KEN54242
54215,KEN54215
54006,KEN54006
54221,KEN54221
54220,KEN54220
25808,LSO25808
25815,LSO25815
25814,LSO25814
25811,LSO25811
25809,LSO25809
25816,LSO25816
25810,LSO25810
25812,LSO25812
25817,LSO25817
25813,LSO25813
26818,LBR26818
26819,LBR26819
26820,LBR26820
26821,LBR26821
26822,LBR26822
26823,LBR26823
26824,LBR26824
26825,LBR26825
26826,LBR26826
26827,LBR26827
26828,LBR26828
26829,LBR26829
26831,LBR26831
26830,LBR26830
26832,LBR26832
27926,MDG27926
27847,MDG27847
27914,MDG27914
27844,MDG27844
27873,MDG27873
27895,MDG27895
27937,MDG27937
27877,MDG27877
27935,MDG27935
27897,MDG27897
27904,MDG27904
27851,MDG27851
27885,MDG27885
27932,MDG27932
27940,MDG27940
27884,MDG27884
27883,MDG27883
27931,MDG27931
27840,MDG27840
27834,MDG27834
27938,MDG27938
27916,MDG27916
27878,MDG27878
27919,MDG27919
27850,MDG27850
27890,MDG27890
27905,MDG27905
27835,MDG27835
27872,MDG27872
27854,MDG27854
27912,MDG27912
27858,MDG27858
27837,MDG27837
27943,MDG27943
27896,MDG27896
27902,MDG27902
27934,MDG27934
27886,MDG27886
27864,MDG27864
27863,MDG27863
27924,MDG27924
27845,MDG27845
27843,MDG27843
27901,MDG27901
27920,MDG27920
27917,MDG27917
27894,MDG27894
27925,MDG27925
27869,MDG27869
27941,MDG27941
27928,MDG27928
27868,MDG27868
27913,MDG27913
27906,MDG27906
27879,MDG27879
27898,MDG27898
27889,MDG27889
27909,MDG27909
27865,MDG27865
27862,MDG27862
27838,MDG27838
27888,MDG27888
27893,MDG27893
27833,MDG27833
27946,MDG27946
27875,MDG27875
27874,MDG27874
27849,MDG27849
